Season_year,Season_div,Date,OPP,Result,T Score,O Score,MIN,FG,FGM,FGA,FG%,3PT,3PTM,3PTA,3P%,FT,FTM,FTA,FT%,REB,AST,BLK,STL,PF,TO,PTS
2012-2013,Pre,Fri 10/19,POR,W,101,97,12.0,1-2,1,2,50.0,0-0,0,0,0.0,0-0,0,0,0.0,0,4,0,0,0,2,2
2012-2013,Pre,Wed 10/17,SAC,W,98,88,23.0,8-14,8,14,57.1,2-4,2,4,50.0,1-1,1,1,100.0,5,4,0,2,6,1,19
2012-2013,Pre,Mon 10/15,DEN,L,98,104,24.0,10-15,10,15,66.7,4-5,4,5,80.0,1-1,1,1,100.0,1,2,0,1,3,5,25
2012-2013,Pre,Thu 10/11,MCH,W,108,100,23.0,4-8,4,8,50.0,2-4,2,4,50.0,3-3,3,3,100.0,4,10,0,1,4,1,13
2012-2013,Pre,Mon 10/8,UTA,W,83,80,12.0,1-3,1,3,33.3,0-1,0,1,0.0,0-0,0,0,0.0,2,6,0,1,2,1,2
2013-2014,Pre,Wed 10/23,SAC,L,90,91,36.0,8-15,8,15,53.3,5-10,5,10,50.0,3-4,3,4,75.0,2,6,1,3,4,4,24
2013-2014,Pre,Fri 10/18,LAL,W,115,89,21.0,3-12,3,12,25.0,1-5,1,5,20.0,2-2,2,2,100.0,3,3,1,1,3,2,9
2013-2014,Pre,Tue 10/15,LAL,W,100,95,37.0,7-18,7,18,38.9,3-10,3,10,30.0,7-8,7,8,87.5,3,7,0,3,3,2,24
2013-2014,Pre,Tue 10/8,UTA,L,78,101,21.0,4-14,4,14,28.6,2-4,2,4,50.0,0-0,0,0,0.0,4,3,0,0,1,0,10
2013-2014,Pre,Mon 10/7,SAC,W,94,81,27.0,5-12,5,12,41.7,4-7,4,7,57.1,9-10,9,10,90.0,3,6,0,0,4,5,23
2013-2014,Pre,Sat 10/5,LAL,L,95,104,15.0,2-6,2,6,33.3,0-4,0,4,0.0,1-1,1,1,100.0,4,2,0,2,2,1,5
2014-2015,Pre,Fri 10/24,DEN,W,119,112,34.0,5-15,5,15,33.3,3-7,3,7,42.9,4-4,4,4,100.0,2,11,0,2,1,3,17
2014-2015,Pre,Tue 10/21,LAC,W,125,107,31.0,9-13,9,13,69.2,4-5,4,5,80.0,5-8,5,8,62.5,2,6,1,3,1,6,27
2014-2015,Pre,Fri 10/17,MIA,L,108,115,32.0,2-10,2,10,20.0,1-7,1,7,14.3,2-2,2,2,100.0,3,7,0,3,4,1,7
2014-2015,Pre,Thu 10/16,DEN,W,104,101,17.0,5-9,5,9,55.6,3-3,3,3,100.0,0-0,0,0,0.0,1,4,0,1,2,2,13
2014-2015,Pre,Sun 10/12,LAL,W,116,75,24.0,8-11,8,11,72.7,4-7,4,7,57.1,5-5,5,5,100.0,6,6,1,2,2,3,25
2014-2015,Pre,Thu 10/9,LAL,W,120,105,27.0,6-9,6,9,66.7,3-4,3,4,75.0,5-5,5,5,100.0,5,6,0,1,2,3,20
2014-2015,Pre,Tue 10/7,LAC,W,112,94,18.0,2-7,2,7,28.6,0-2,0,2,0.0,8-11,8,11,72.7,1,3,0,0,6,3,12
2015-2016,Pre,Thu 10/22,LAL,W,136,97,29.0,9-14,9,14,64.3,4-8,4,8,50.0,2-2,2,2,100.0,4,10,0,4,4,5,24
2015-2016,Pre,Sat 10/17,LAL,L,70,85,22.0,7-13,7,13,53.8,5-10,5,10,50.0,0-0,0,0,0.0,3,4,0,0,0,3,19
2015-2016,Pre,Thu 10/15,HOU,W,123,101,17.0,6-7,6,7,85.7,1-1,1,1,100.0,6-6,6,6,100.0,1,6,0,1,1,0,19
2015-2016,Pre,Tue 10/13,DEN,L,103,114,26.0,5-13,5,13,38.5,1-8,1,8,12.5,3-5,3,5,60.0,1,7,0,1,4,4,14
2015-2016,Pre,Thu 10/8,POR,L,101,118,26.0,6-14,6,14,42.9,6-11,6,11,54.5,12-15,12,15,80.0,2,7,1,1,1,2,30
2015-2016,Pre,Mon 10/5,TOR,W,95,87,19.0,5-7,5,7,71.4,3-5,3,5,60.0,1-2,1,2,50.0,4,2,0,0,6,4,14
2016-2017,Pre,Fri 10/21,POR,W,107,96,28.0,12-21,12,21,57.1,8-13,8,13,61.5,3-3,3,3,100.0,4,2,0,0,2,2,35
2016-2017,Pre,Wed 10/19,LAL,W,123,112,31.0,11-19,11,19,57.9,6-12,6,12,50.0,4-4,4,4,100.0,5,5,0,3,2,1,32
2016-2017,Pre,Sat 10/15,LAL,W,112,107,18.0,5-9,5,9,55.6,2-5,2,5,40.0,2-3,2,3,66.7,3,3,0,2,1,1,14
2016-2017,Pre,Fri 10/14,DEN,W,129,128,27.0,7-17,7,17,41.2,2-9,2,9,22.2,6-7,6,7,85.7,9,4,2,0,2,2,22
2016-2017,Pre,Thu 10/6,SAC,W,105,96,26.0,3-8,3,8,37.5,2-5,2,5,40.0,5-5,5,5,100.0,2,5,1,4,1,4,13
2016-2017,Pre,Tue 10/4,LAC,W,120,75,23.0,4-8,4,8,50.0,3-6,3,6,50.0,3-3,3,3,100.0,3,5,0,3,3,1,14
2016-2017,Pre,Sat 10/1,TOR,L,93,97,17.0,2-6,2,6,33.3,1-5,1,5,20.0,3-5,3,5,60.0,2,3,0,2,1,1,8
2017-2018,Pre,Fri 10/13,SAC,W,117,106,19.0,6-12,6,12,50.0,4-6,4,6,66.7,2-2,2,2,100.0,3,3,0,1,0,1,18
2017-2018,Pre,Sun 10/8,MIN,W,142,110,31.0,13-20,13,20,65.0,6-9,6,9,66.7,8-9,8,9,88.9,6,8,0,3,3,1,40
2017-2018,Pre,Thu 10/5,MIN,L,97,111,24.0,5-9,5,9,55.6,3-6,3,6,50.0,1-2,1,2,50.0,6,4,1,0,5,3,14
2017-2018,Pre,Sat 9/30,DEN,L,102,108,24.0,3-12,3,12,25.0,1-7,1,7,14.3,4-4,4,4,100.0,4,2,0,1,0,1,11
2018-2019,Pre,Fri 10/12,LAL,L,105,119,12.0,5-10,5,10,50.0,4-7,4,7,57.1,2-2,2,2,100.0,3,4,1,1,0,0,16
2018-2019,Pre,Wed 10/10,LAL,L,113,123,26.0,6-11,6,11,54.5,2-3,2,3,66.7,9-9,9,9,100.0,3,5,0,2,3,5,23
2018-2019,Pre,Mon 10/8,PHX,L,109,117,24.0,8-14,8,14,57.1,3-8,3,8,37.5,4-4,4,4,100.0,0,4,0,1,3,5,23
2018-2019,Pre,Sat 9/29,MIN,L,110,114,20.0,7-11,7,11,63.6,5-9,5,9,55.6,2-2,2,2,100.0,2,4,1,1,2,1,21
2019-2020,Pre,Fri 10/18,LAL,W,124,103,33.0,9-20,9,20,45.0,6-15,6,15,40.0,8-8,8,8,100.0,1,6,1,0,4,2,32
2019-2020,Pre,Mon 10/14,LAL,L,98,104,21.0,6-17,6,17,35.3,3-8,3,8,37.5,2-2,2,2,100.0,1,3,2,2,3,3,17
2019-2020,Pre,Thu 10/10,MIN,W,143,123,25.0,14-19,14,19,73.7,6-9,6,9,66.7,6-6,6,6,100.0,6,6,1,2,2,5,40
2019-2020,Pre,Sat 10/5,LAL,L,101,123,18.0,5-11,5,11,45.5,1-5,1,5,20.0,7-8,7,8,87.5,3,2,0,2,0,1,18
2020-2021,Pre,Thu 12/17,SAC,W,113,105,29.0,9-23,9,23,39.1,6-13,6,13,46.2,5-5,5,5,100.0,6,3,0,2,2,1,29
2020-2021,Pre,Tue 12/15,SAC,L,113,114,28.0,11-21,11,21,52.4,5-13,5,13,38.5,2-3,2,3,66.7,4,4,1,3,0,4,29
2020-2021,Pre,Sat 12/12,DEN,W,107,105,21.0,3-10,3,10,30.0,2-7,2,7,28.6,2-2,2,2,100.0,1,3,0,2,1,3,10
